tornoszhu,宁波,太好看了，我也想要一个毒液了,5.0,2018-12-03 17:32:55
wAF918965549,澧县,特效还不错，整体感觉不错,5.0,2018-12-03 17:32:54
短发过肩i,深圳,不错？。。。。。。。。。。。。。,5.0,2018-12-03 17:31:07
全德强,海口,很好看，值得一看。,5.0,2018-12-03 17:30:23
尒媚.,平湖,好看，感觉不过瘾啊，时间太短哈哈,5.0,2018-12-03 17:30:10
JfZ995820517,成都,毒液太酷了又不失幽默,5.0,2018-12-03 17:29:54
IHO955078309,北京,中规中矩，好莱坞出品。,4.0,2018-12-03 17:29:06
TVd140806880,常州,非常好看的一部大片。,5.0,2018-12-03 17:28:51
妮可真姬隔壁老王,阳谷,牛逼啊啊啊啊,5.0,2018-12-03 17:28:27
东东940513,沧州,不错不错不错,5.0,2018-12-03 17:27:58
丢你雷姆.,长春,漫威新吉祥物,5.0,2018-12-03 17:27:42
zFU972295391,广州,你说的人都是什么,5.0,2018-12-03 17:27:12
徐鵬程,北京,很精彩，感觉打斗情节不够多啊😂,5.0,2018-12-03 17:24:56
雨繁宝宝,烟台,炒鸡好看。。。,5.0,2018-12-03 17:24:50
